"matricula","codigo_disciplina","periodo","disciplina","creditos","media","periodo_ingresso"
183429266,1411169,2013.2,"Paradigmas de Ling. de Programação",4,8.5,2013.1
183429266,1411178,2013.2,"Sistemas de Informação I",4,4.3,2013.1
183429266,1411178,2014.1,"Sistemas de Informação I",4,7,2013.1
183429266,1411183,2014.1,"Laboratório de Engenharia de Software",2,6.3,2013.1
46876753,1411183,2014.1,"Laboratório de Engenharia de Software",2,8.3,2012.1
183429266,1411184,2014.2,"Lab. de Intercon. de Redes de Computadores",2,5.4,2013.1
46876753,1411184,2014.2,"Lab. de Intercon. de Redes de Computadores",2,7,2012.1
183429266,1411185,2014.2,"Projeto em Computação I",4,7.1,2013.1
46876753,1411185,2014.2,"Projeto em Computação I",4,6.2,2012.1
183429266,1411188,2015.1,"Métodos e Software Numéricos",4,5,2013.1
183429266,1411189,2014.1,"Compiladores",4,5.7,2013.1
46876753,1411189,2013.2,"Compiladores",4,1.9,2012.1
46876753,1411189,2014.1,"Compiladores",4,6,2012.1
183429266,1411190,2014.1,"Redes de Computadores",4,7,2013.1
46876753,1411190,2014.1,"Redes de Computadores",4,5.3,2012.1
200645921,1411194,2013.2,"Banco de Dados II",4,5,2009.2
183429266,1411194,2015.1,"Banco de Dados II",4,5.6,2013.1
46876753,1411194,2014.2,"Banco de Dados II",4,5.1,2012.1
183429266,1114114,2013.2,"Métodos Estatisticos",4,7.3,2013.1
46876753,1114114,2013.2,"Métodos Estatisticos",4,3.5,2012.1
46876753,1114114,2014.1,"Métodos Estatisticos",4,6.1,2012.1
183429266,1411187,2014.1,"Análise e Técnica de Algoritmos",4,7,2013.1
46876753,1411196,2014.2,"Inteligência Artificial I",4,7,2012.1
183429266,1411186,2015.1,"Projeto em Computação II",6,9,2013.1
183429266,1411196,2014.2,"Inteligência Artificial I",4,7.5,2013.1
183429266,1411195,2014.2,"Sistemas de Informação II",4,5.8,2013.1
200645921,1411186,2013.2,"Projeto em Computação II",6,8.3,2009.2
200645921,1411196,2013.2,"Inteligência Artificial I",4,7.6,2009.2
200645922,1411186,2013.2,"Projeto em Computação II",6,8.1,2009.2
200645922,1411196,2013.2,"Inteligência Artificial I",4,7.6,2009.2
46876753,1411197,2014.2,"Aval. de Desempenho de Sistemas Discretos",4,7.3,2012.1
46876753,1411191,2014.2,"Interconexão de Redes de Computadores",4,7,2012.1
183429266,1411197,2015.1,"Aval. de Desempenho de Sistemas Discretos",4,7,2013.1
183429266,1411191,2014.2,"Interconexão de Redes de Computadores",4,5.4,2013.1
200645922,1411197,2013.2,"Aval. de Desempenho de Sistemas Discretos",4,8.7,2009.2
46876753,1411192,2014.2,"Sistemas Operacionais",4,6.3,2012.1
46876753,1411177,2013.2,"Engenharia de Software I",4,8.4,2012.1
183429266,1411192,2014.2,"Sistemas Operacionais",4,6.8,2013.1
183429266,1411177,2013.2,"Engenharia de Software I",4,7.2,2013.1
183429266,1411193,2014.2,"Banco de Dados I",4,6.1,2013.1
183429266,1305218,2014.1,"Métodologia Científica",4,8.1,2013.1
183429266,1411173,2013.2,"Lógica Matemática",4,7.2,2013.1
104343431,1109049,2004.1,"Álgebra Linear I",4,7.7,2003.1
104343425,1109049,2004.1,"Álgebra Linear I",4,7.8,2003.1
200645921,1109049,2010.1,"Álgebra Linear I",4,7.2,2009.2
200645922,1109049,2011.1,"Álgebra Linear I",4,7.4,2009.2
106343545,1109049,2004.1,"Álgebra Linear I",4,NA,2003.1
99343432,1109049,2004.1,"Álgebra Linear I",4,5.2,2003.1
105343539,1109049,2004.1,"Álgebra Linear I",4,6.1,2003.1
104343429,1411196,2006.2,"Inteligência Artificial I",4,8.1,2003.1
104343431,1411196,2005.2,"Inteligência Artificial I",4,8.1,2003.1
104343425,1411196,2006.1,"Inteligência Artificial I",4,7.9,2003.1
297835333,1411196,2009.2,"Inteligência Artificial I",4,7.2,2005.1
106343548,1411196,2007.1,"Inteligência Artificial I",4,7.9,2003.1
297835335,1411196,2008.2,"Inteligência Artificial I",4,7.3,2005.1
297835332,1411196,2008.2,"Inteligência Artificial I",4,7.7,2005.1
103343436,1411196,2006.1,"Inteligência Artificial I",4,8.6,2003.1
105343538,1411196,2006.1,"Inteligência Artificial I",4,7.9,2003.1
105343546,1411196,2006.2,"Inteligência Artificial I",4,7.4,2003.1
105343549,1411196,2006.1,"Inteligência Artificial I",4,8,2003.1
297835329,1411196,2008.1,"Inteligência Artificial I",4,8.9,2005.1
104343430,1411196,2006.1,"Inteligência Artificial I",4,8,2003.1
99343433,1411196,2003.1,"Inteligência Artificial I",4,5.9,2003.1
106343545,1411196,2006.2,"Inteligência Artificial I",4,7.4,2003.1
106343549,1411196,2010.2,"Inteligência Artificial I",4,7,2003.1
99343432,1411196,2006.1,"Inteligência Artificial I",4,7.5,2003.1
106343541,1411196,2008.1,"Inteligência Artificial I",4,7.9,2003.1
105343551,1411196,2008.1,"Inteligência Artificial I",4,8.4,2003.1
