Cálculo.1,Vetorial,LPT,P1,LP1,IC,Cálculo.2,Discreta,P2,LP2,Grafos,Física.3,cra
5.6,7.5,9.1,8.0,8.7,8.4,NaN,9.2,7.7,8.6,7.2,9.6,8.109876543209877
6.7,8.5,8.6,7.1,7.6,7.7,NaN,5.0,5.7,8.0,7.0,7.8,6.975824175824175
7.0,5.6,6.5,7.3,8.5,7.5,NaN,5.3,5.6,8.1,7.9,7.0,6.057281553398058
NaN,7.3,NaN,NaN,NaN,NaN,7.2,NaN,NaN,NaN,NaN,NaN,7.766666666666667
5.5,7.0,7.4,6.8,6.3,8.6,NaN,6.7,7.9,9.0,6.1,7.1,7.693827160493828
6.6,5.9,8.3,9.1,8.8,9.5,NaN,6.1,6.8,9.0,5.3,7.3,6.72289156626506
9.1,7.2,5.0,7.9,7.9,8.8,NaN,8.5,7.6,9.2,7.7,8.5,7.533333333333334
6.7,8.4,7.1,7.1,6.0,7.7,NaN,7.2,6.3,8.5,5.6,7.4,7.7407407407407405
NaN,6.1,NaN,NaN,NaN,NaN,3.0,NaN,8.1,NaN,8.9,5.5,6.5807692307692305
8.3,7.2,8.6,8.6,8.0,9.2,NaN,8.2,9.5,9.3,8.2,7.6,8.51679012345679
8.2,7.5,8.8,7.1,7.6,8.3,NaN,6.7,5.5,8.6,7.0,6.5,7.190361445783132
5.8,7.0,8.3,7.0,7.0,7.7,NaN,7.3,8.1,9.3,7.0,5.5,7.208641975308642
6.7,7.5,8.6,7.0,6.8,8.0,NaN,7.7,8.0,9.3,6.2,5.8,7.5888888888888895
5.6,7.2,8.1,7.0,8.4,8.8,NaN,6.8,7.6,9.7,7.0,8.9,7.2132530120481935
8.5,8.5,8.8,7.0,9.1,9.0,NaN,5.6,7.8,8.7,8.6,8.2,7.944444444444445
5.4,7.5,8.1,7.2,7.0,7.1,NaN,6.2,7.8,8.1,5.1,5.7,6.027184466019417
10.0,9.6,8.5,9.3,9.1,7.9,NaN,7.3,7.3,8.4,8.2,7.6,7.6019753086419755
7.3,5.9,8.9,8.6,8.7,7.7,NaN,5.9,9.3,8.7,7.0,7.0,7.16144578313253
7.0,7.7,8.3,5.8,7.9,7.2,NaN,7.0,7.4,8.6,7.0,7.0,7.614814814814814
NaN,6.4,NaN,NaN,NaN,NaN,NaN,7.0,7.9,8.7,9.4,7.3,7.987605633802817
7.2,7.0,7.7,5.2,8.6,7.9,NaN,9.3,7.0,8.4,5.0,6.1,6.809473684210526
7.0,7.4,7.8,9.5,9.6,6.6,NaN,5.7,8.2,8.7,7.8,7.0,7.427272727272728
7.3,7.3,8.1,8.3,7.5,7.5,NaN,7.1,7.5,9.5,5.4,6.4,7.209638554216867
8.7,8.6,10.0,9.0,8.6,9.1,8.4,8.3,8.8,9.4,8.2,7.9,8.47764705882353
5.4,5.2,8.0,8.9,8.2,8.2,NaN,5.8,8.5,8.8,8.4,5.2,6.94367816091954
7.0,5.6,7.0,7.7,8.1,7.0,6.2,7.3,8.2,8.9,5.4,7.7,6.8517241379310345
6.2,7.2,7.8,8.4,8.2,6.2,NaN,6.0,7.6,7.6,7.8,6.5,6.987222222222223
8.6,10.0,9.8,7.9,8.3,9.6,8.7,8.8,9.5,9.7,9.2,8.6,9.090588235294119
8.2,9.7,8.8,9.0,9.4,8.6,NaN,6.5,7.5,8.8,9.4,8.2,8.053086419753086
5.5,5.4,8.2,9.0,9.0,9.0,NaN,7.8,8.4,8.9,7.6,8.2,8.1
7.6,9.2,7.0,7.6,8.5,7.9,NaN,8.8,8.2,9.4,7.8,8.7,8.083456790123456
7.8,6.1,8.3,6.8,7.1,8.2,8.0,6.3,8.9,9.0,7.0,8.5,7.283516483516483
8.2,8.5,8.8,9.0,8.1,7.8,NaN,5.8,8.7,9.6,8.1,7.0,8.277777777777779
7.1,7.6,8.5,6.6,9.1,9.3,NaN,10.0,8.2,8.7,7.2,7.3,7.8752941176470586
6.4,7.0,7.5,6.0,8.9,7.6,NaN,7.2,5.9,5.2,6.4,5.7,6.896551724137931
7.0,7.2,5.7,7.6,7.6,6.2,NaN,8.4,6.1,8.7,7.1,8.3,6.742528735632185
7.7,7.0,9.0,5.0,5.4,7.6,NaN,5.0,8.5,9.6,5.3,7.7,7.535294117647059
7.0,7.3,7.7,7.0,6.5,8.1,NaN,6.2,5.0,7.6,6.3,5.2,6.855172413793103
8.0,9.0,8.3,7.9,7.8,7.9,NaN,5.0,7.4,8.7,5.4,5.0,6.207142857142857
6.7,8.3,7.9,9.1,8.2,8.2,NaN,7.9,7.0,8.9,7.0,7.2,8.078313253012048
NaN,8.6,NaN,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN,8.0,8.402325581395349
6.1,9.4,9.2,9.1,9.3,9.3,5.6,8.2,9.0,9.6,8.5,7.3,7.808235294117647
7.1,7.5,8.3,7.9,9.1,9.3,NaN,7.5,9.2,9.2,8.3,8.3,7.898765432098765
5.0,7.4,7.0,6.6,7.2,7.7,NaN,5.7,7.2,7.8,5.8,5.9,6.654022988505747
6.7,7.1,9.0,6.0,5.5,8.9,NaN,7.0,7.0,8.3,7.3,6.1,7.197590361445783
7.8,8.5,9.0,7.3,8.5,7.4,NaN,7.2,9.4,9.4,9.3,8.3,8.464197530864197
NaN,7.1,NaN,NaN,NaN,NaN,6.8,NaN,NaN,NaN,8.6,6.1,7.323943661971831
6.3,7.0,9.6,8.3,8.8,8.6,6.7,8.8,9.6,9.5,8.4,7.6,8.858823529411765
6.1,8.2,8.3,5.1,7.2,7.2,NaN,6.4,6.5,8.4,7.0,7.6,7.842168674698795
7.5,7.5,8.9,7.5,8.2,7.9,5.0,5.6,7.0,7.9,5.1,7.1,6.158823529411765
5.0,8.2,7.7,7.6,7.3,5.2,NaN,6.1,7.7,8.4,7.0,5.8,7.001204819277109
5.6,5.5,7.0,7.0,6.4,7.0,NaN,5.7,7.1,8.0,5.6,8.3,6.432584269662922
5.0,5.3,7.0,5.0,7.1,7.0,NaN,7.3,5.5,7.2,5.5,7.1,5.206086956521739
6.4,7.2,7.0,8.5,7.0,6.2,NaN,7.8,7.7,9.0,7.0,5.3,5.807943925233645
NaN,6.6,NaN,NaN,NaN,NaN,5.4,NaN,NaN,NaN,8.2,7.0,7.252380952380952
6.1,5.0,7.1,5.4,5.6,7.5,NaN,5.1,7.0,8.0,5.7,5.0,7.011111111111111
6.6,9.1,9.0,5.0,5.3,7.9,5.0,5.4,8.3,8.9,7.1,5.1,6.7305882352941175
NaN,7.0,NaN,NaN,NaN,NaN,5.4,NaN,NaN,NaN,8.6,7.2,8.06865671641791
7.0,7.4,7.6,7.4,8.9,8.4,NaN,7.3,8.3,9.4,8.7,7.0,8.093827160493827
7.0,7.1,8.3,7.6,8.6,5.8,NaN,7.4,7.1,9.1,5.7,5.1,7.109036144578313
NaN,9.5,NaN,NaN,NaN,NaN,8.3,NaN,NaN,NaN,9.4,8.7,8.958208955223881
8.0,8.5,9.2,9.3,8.7,8.6,NaN,7.3,8.7,9.6,8.9,6.6,8.60320987654321
5.0,5.0,7.0,5.9,7.7,8.2,NaN,7.0,5.9,5.6,7.0,6.1,6.27741935483871
5.0,5.7,9.1,8.1,7.2,8.3,NaN,6.8,9.0,9.1,6.0,7.5,7.4799999999999995
6.2,7.0,8.0,9.0,9.3,9.5,NaN,6.0,6.4,8.9,8.0,5.0,6.9528735632183905
8.3,7.6,8.0,7.0,7.8,7.1,NaN,5.0,8.3,9.5,7.5,5.3,6.3343750000000005
5.6,5.8,7.3,6.7,7.1,8.1,5.0,7.2,7.4,8.8,6.7,6.6,6.834065934065934
NaN,7.5,NaN,NaN,NaN,NaN,6.7,NaN,NaN,NaN,7.4,7.3,8.216417910447761
NaN,8.7,NaN,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN,7.0,8.141666666666667
9.7,5.7,9.1,7.2,7.8,8.3,5.0,7.9,7.7,7.7,8.4,8.1,7.247191011235955
NaN,9.7,8.0,9.4,9.8,10.0,NaN,NaN,9.3,9.0,NaN,8.5,8.567567567567568
5.0,7.3,7.2,8.3,8.3,8.2,NaN,7.0,7.3,7.5,7.5,5.7,7.16
8.3,9.5,9.0,9.5,8.1,8.7,NaN,8.2,8.3,8.2,8.8,8.1,8.56864197530864
NaN,6.4,NaN,NaN,5.4,NaN,NaN,NaN,NaN,7.0,6.5,7.0,4.988349514563106
7.0,6.7,7.8,6.3,8.2,8.1,NaN,6.3,7.6,8.4,8.2,5.0,7.516049382716049
7.4,5.0,7.5,6.5,6.3,7.3,5.4,5.0,7.3,7.8,6.2,5.8,6.116279069767442
7.5,8.3,7.1,8.1,8.8,8.8,NaN,6.0,7.0,7.9,7.2,6.0,8.188888888888888
7.2,8.4,9.5,8.9,9.6,8.1,5.8,9.6,9.0,9.3,8.8,7.0,8.52235294117647
NaN,7.1,8.3,NaN,NaN,NaN,NaN,NaN,7.6,9.0,6.5,7.2,7.857746478873239
7.8,9.5,8.3,9.2,9.3,9.2,NaN,9.2,8.4,8.2,9.3,5.4,8.622222222222222
9.3,9.2,8.4,8.0,8.5,8.8,NaN,7.2,7.0,8.1,7.0,5.1,7.83012048192771
5.3,5.0,7.8,5.1,5.7,5.8,NaN,7.5,5.7,5.0,5.7,5.1,6.1171428571428565
7.0,8.7,9.6,8.6,8.7,9.3,7.5,7.6,9.4,9.7,9.5,7.5,8.661176470588236
7.5,8.1,7.7,8.2,8.8,6.2,NaN,7.0,8.5,9.3,8.1,7.0,7.944444444444445
5.1,7.2,7.8,7.7,8.7,7.0,NaN,6.8,6.3,7.9,5.0,5.5,6.3
8.2,8.1,7.8,8.7,9.1,8.4,NaN,6.8,7.1,9.0,8.6,7.2,7.579036144578312
8.8,8.0,8.6,5.3,8.0,7.9,NaN,7.3,5.5,8.5,8.7,9.0,7.048390804597702
NaN,7.5,8.3,NaN,NaN,NaN,7.7,NaN,NaN,NaN,NaN,NaN,7.085714285714285
9.0,9.3,8.3,8.0,8.0,8.0,NaN,7.4,7.2,8.6,7.2,7.5,7.489156626506024
6.4,8.8,8.8,5.3,5.0,7.9,NaN,6.8,7.1,9.0,7.0,7.9,7.46
7.0,7.5,7.3,5.0,7.0,7.9,NaN,6.0,5.6,7.0,5.0,5.0,5.8009900990099
7.8,9.3,10.0,7.0,7.5,8.1,NaN,6.2,8.0,9.0,7.1,7.0,7.573493975903615
5.7,6.6,7.0,7.2,7.0,7.1,NaN,6.0,7.2,8.0,5.3,5.4,5.948543689320389
7.6,7.0,7.8,8.3,7.0,5.7,NaN,5.8,9.0,9.2,7.2,6.4,7.2666666666666675
7.0,7.3,8.1,8.0,8.7,7.2,NaN,6.0,6.5,7.8,7.3,6.4,7.216867469879518
10.0,9.1,8.8,8.7,8.7,9.1,NaN,8.5,8.9,9.5,9.3,9.1,8.68641975308642
5.8,7.2,10.0,8.2,8.5,7.4,7.2,6.8,7.4,9.3,6.5,7.0,7.010588235294118
7.2,9.3,9.3,9.2,8.0,8.8,NaN,7.8,8.6,9.3,7.6,7.6,8.297590361445783
NaN,6.7,NaN,NaN,NaN,NaN,NaN,8.3,8.1,8.8,8.8,8.3,8.152394366197184
NaN,8.9,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,6.6,6.682142857142857
5.6,6.5,7.6,5.7,5.7,6.5,NaN,5.9,7.0,7.8,5.3,5.4,5.3567307692307695
5.1,7.0,9.7,6.5,7.2,8.1,NaN,5.7,7.7,8.4,5.0,7.0,7.958024691358025
NaN,7.1,NaN,NaN,NaN,NaN,6.4,NaN,NaN,NaN,8.3,6.0,6.010588235294118
9.5,7.0,8.6,7.2,7.6,8.2,NaN,5.5,7.5,9.2,6.4,8.6,6.490526315789474
5.4,5.6,8.2,7.7,7.8,7.0,NaN,7.8,7.3,8.9,7.0,7.1,6.654347826086957
5.4,5.2,7.0,5.5,5.0,7.0,NaN,5.0,5.0,5.1,5.4,5.5,5.03781512605042
7.2,7.8,8.5,7.7,8.3,8.4,5.0,7.4,9.0,9.6,7.4,7.7,7.725882352941177
9.2,9.8,7.3,9.2,9.0,6.9,NaN,9.3,7.0,8.3,9.4,8.7,8.725432098765433
6.5,7.5,7.8,7.4,7.4,7.6,NaN,6.4,7.0,8.3,7.0,6.3,7.068235294117646
8.3,8.6,8.1,8.5,9.2,7.7,NaN,7.1,7.1,9.2,8.2,7.3,7.820987654320987
6.3,8.7,8.7,7.9,7.0,8.3,NaN,7.0,7.3,8.6,6.6,7.3,7.554216867469879
8.4,8.2,9.0,8.2,8.3,7.8,NaN,7.9,8.7,9.0,8.7,5.3,7.169135802469136
6.5,7.0,8.6,8.1,9.0,8.6,NaN,7.8,8.0,8.8,7.2,5.0,8.006172839506172
8.7,8.7,9.0,7.3,8.7,8.7,NaN,8.1,8.9,9.7,9.0,7.8,8.280246913580248
NaN,6.7,NaN,NaN,NaN,NaN,5.0,NaN,NaN,NaN,6.3,NaN,6.401960784313726
7.0,7.0,8.1,7.1,8.6,8.6,NaN,8.1,9.1,9.0,7.4,8.7,7.5
7.8,9.1,7.3,5.5,9.8,9.5,NaN,5.3,8.9,8.9,8.1,7.0,7.560975609756097
8.7,8.3,9.5,9.9,7.7,8.7,NaN,6.5,9.0,9.3,8.9,8.0,8.607901234567901
8.5,8.7,8.0,6.3,8.2,9.6,NaN,8.7,5.2,7.6,7.5,8.0,7.906172839506173
NaN,8.7,NaN,NaN,NaN,NaN,9.3,NaN,NaN,NaN,NaN,7.0,7.752173913043479
NaN,7.1,NaN,NaN,NaN,NaN,7.0,NaN,NaN,NaN,7.5,6.2,7.638983050847457
NaN,5.0,NaN,NaN,NaN,NaN,7.2,NaN,NaN,NaN,5.8,5.0,5.859493670886076
5.7,8.4,8.6,7.7,7.1,7.8,NaN,8.0,8.6,9.1,6.7,5.4,7.6987654320987655
7.2,7.0,8.0,8.3,8.7,8.8,NaN,8.2,8.6,9.0,7.2,6.97,8.107710843373495
7.0,7.8,7.6,8.2,9.6,9.2,NaN,7.3,7.3,8.6,6.3,7.0,8.31604938271605
5.75,7.1,9.3,9.5,9.6,9.2,NaN,8.1,8.2,9.6,7.4,6.0,8.49753086419753
