"matricula","Álgebra.Linear.I","Álgebra.Vetorial.e.Geometria.Analítica","Análise.e.Técnica.de.Algoritmos","Aval..de.Desempenho.de.Sistemas.Discretos","Banco.de.Dados.I","Banco.de.Dados.II","Cálculo.Diferencial.e.Integral.I","Cálculo.Diferencial.e.Integral.II","Compiladores","Direito.e.Cidadania","Engenharia.de.Software.I","Estrutura.de.Dados.e.Algoritmos","Fundamentos.de.Física.Clássica","Fundamentos.de.Física.Moderna","Gerência.da.Informação","Informática.e.Sociedade","Inteligência.Artificial.I","Interconexão.de.Redes.de.Computadores","Introdução.à.Computação","Lab..de.Estrutura.de.Dados.e.Algoritmos","Lab..de.Intercon..de.Redes.de.Computadores","Lab..de.Org..e.Arquitetura.de.Computadores","Laboratório.de.Engenharia.de.Software","Laboratório.de.Programação.I","Laboratório.de.Programação.II","Leitura.e.Produção.de.Textos","Lógica.Matemática","Matemática.Discreta","Métodologia.Científica","Métodos.e.Software.Numéricos","Métodos.Estatisticos","Org..e.Arquitetura.de.Computadores.I","Paradigmas.de.Ling..de.Programação","Probabilidade.e.Estatistica","Programação.I","Programação.II","Projeto.em.Computação.I","Projeto.em.Computação.II","Redes.de.Computadores","Sistemas.de.Informação.I","Sistemas.de.Informação.II","Sistemas.Operacionais","Teoria.da.Computação","Teoria.dos.Grafos","cra"
"103343436",NA,9.5,9.3,8.8,8.2,7.2,7.5,NA,7.7,10,8.7,8.7,9.3,7.8,8.4,8.8,8.6,8.6,8.9,5.8,8.6,9.7,8.2,8.4,8.1,8.8,8.4,9.6,9,8,7.9,8.3,8.1,9.3,9,7.8,7.6,8.2,7.7,8.4,8.5,7,8.6,7.9,8.35731707317073
"104343425",7.8,7.8,7,7.9,7.5,8,7.7,NA,8,8.6,7.5,7.4,7,7.6,8.3,8,7.9,7.9,9.5,8.2,7.9,9.3,9.1,8.8,8.4,8.3,8.4,7.4,8.5,8,7.7,9.6,7.9,8,8,7.7,8.3,8.2,7.7,8.6,8.7,7.6,8.8,9.2,8.11325301204819
"104343426",NA,NA,6,8.4,6.1,5.7,NA,NA,5,NA,9.4,8.6,8,9.5,8.9,9,7.4,7.3,9.6,7.7,7.3,8.9,8.4,8.2,7.6,8,8.6,8.7,NA,9.6,7.5,8.5,8,7,6.3,5.2,8.9,7,7.8,8.6,7.3,8.6,7.5,7.5,7.80821917808219
"104343427",NA,NA,7,6.9,5,7.6,NA,NA,7.6,9,5.8,7,NA,7,8.8,9,8.7,7.1,NA,6.2,7.1,NA,6.6,NA,8.7,NA,9.3,9.2,7,NA,5,NA,6.7,NA,NA,7.6,9,8.6,7.8,8.7,8,7.3,8.4,7.9,7.45322580645161
"104343429",NA,7.8,5.6,7.9,7,7.4,7,NA,9.5,10,7.3,5.4,6.3,9.5,7.7,9,8.1,9.2,9.1,7,9.2,8.8,8.2,6.1,7.2,8.8,8.5,6.6,8.7,7,7.2,8.1,8.4,5.8,7,7,8.3,9.5,7,8.7,8.2,8.8,7,7.3,7.72289156626506
"104343430",NA,NA,9.2,8,8.1,7.1,NA,NA,5,8.4,8.5,8.8,9.6,7.5,8.8,9.5,8,7.8,8.4,8.1,7.8,9.2,8.4,8.7,8.6,9.1,8.1,9.2,8.3,7,6.4,7.5,8.4,7.9,8,7.7,8.3,8.2,8.5,8.9,8.6,8.2,8.7,7.2,8.19090909090909
"104343431",7.7,7.6,7.2,6.6,7.5,6.5,7.1,NA,8,8.5,7,8.3,7.3,8.2,8.1,7,8.1,6.3,9.3,8.3,6.3,8.8,8,9.1,8.7,8.5,7.8,10,7.3,7,7.6,8.2,9.1,9.3,6.6,8.2,8.8,8.7,8,8.8,8.1,7,8.9,7.2,7.87529411764706
"104343438",NA,7,5.4,7.3,6.2,8.3,5.4,NA,8.6,9,6.8,6.1,5.8,7,8.1,8,5.7,7.2,8.6,5,7.2,7.4,8.6,7.6,7.8,9,9.2,7.5,8,7.8,8.3,7.2,8,8,7,7,8.2,8,5.5,9,8.5,7.8,7.8,7.1,7.1183908045977
"105343538",NA,5.4,8.7,7.1,7.4,7.3,6.1,NA,7.4,10,8.8,5.4,5.9,8.1,8,9.5,7.9,7.6,8.5,7.4,7.6,9.2,8.7,7.9,8.2,9.2,8.2,7.7,8.8,8.25,6,7.5,7.9,6.1,7,7.4,7.9,9.5,7.7,7.9,8.5,8.8,7.7,5.2,7.57176470588235
"105343539",6.1,7.3,7.2,8,5.9,5.9,7.2,NA,5.9,7.5,7.2,5.1,6.5,9.1,7.6,8,7.5,8.1,7.9,8.7,8.1,8.9,9,8.3,8.3,7.3,7.1,7.1,7.1,7,6.1,7.2,6.7,6,8,7.2,8.8,8.3,7.8,8.6,8.3,8.6,7.4,7.4,7.45060240963855
"105343544",NA,7.2,7,9.2,7,7.8,NA,NA,7,9.5,8,7.1,5.9,7.8,7.8,8.8,7.8,7.7,8.9,8,7.7,9,9.1,8.8,8.5,9,7.3,7,8.5,8,6,8.5,7.3,7,7.3,7.3,8.9,9,7.2,8.1,8.4,7.4,7.9,6.3,7.8620253164557
"105343545",NA,7.8,7.3,9.3,8,8.2,7.7,NA,7,8.9,7.2,7.8,8,9.4,8,8.8,8.5,8.3,8.8,8.1,8.3,9.2,8.4,8.8,8.9,8.1,9.2,8.9,9.3,7.5,9,8.7,7.4,7.8,7.5,8.2,8.5,9.5,7.5,9.1,8.9,7.9,7.4,7.5,8.31728395061728
"105343546",NA,7.2,7,6.9,7.5,7.4,6.8,NA,7.2,9,8.4,7,6.3,9.2,7.7,8.5,7.4,7.8,7.4,8,7.8,8.8,8.2,7.1,7.8,7.6,8.1,8,6.5,7.25,7,7.6,9.2,7,5.6,6.7,8.8,8.3,6,7.9,8,7,5.9,8.6,7.43493975903615
"105343548",NA,7,7,7.7,7.6,8.8,6.5,NA,7,8.5,7.2,7.1,5,7.8,7.9,8,8.4,7.5,8.6,8.7,7.5,9.5,8.7,9,8.8,8.6,8.9,7.8,9.2,8.7,7,7.9,7.8,7,8.1,8,9,9.7,7.8,9,8.3,7.9,7.4,7.2,8.00617283950617
"105343549",NA,8,7.7,8,7.9,7.5,7,NA,7,8.9,7.8,7.2,5.8,8.4,8.1,8.8,8,9.5,9,7.8,9.5,9.1,9.1,8.6,8.7,7,7.9,7.1,8,7.63,5.8,8.5,7.9,7.2,7.6,8,8.9,9,7.8,8.9,7.9,7.7,6.9,7.3,7.94024691358025
"105343551",NA,7.3,9.5,8.8,8,7.7,5.1,NA,7,9.5,7.5,7,5.1,8.8,7.6,9,8.4,7.5,8.9,7.5,7.5,9.1,8.2,7.4,7.4,8.5,8,5.8,7.7,7,8.3,7.7,6.5,7,7,7.2,8.9,9.1,6.1,8.4,8.6,8.4,7,5.7,7.62530120481928
"106343541",NA,7,5.1,5.5,5,5.1,3.7,NA,7.4,8,9,7.2,5,5.4,8.8,9,7.9,8.2,8,7.3,8.2,7.2,9,7,7.3,8.1,5,5.1,7.8,7.5,7.1,5.9,7.5,6.2,6.3,5.5,9.1,9.6,6.1,6,7.2,8.1,5.6,5.4,5.84752475247525
"106343545",NA,7.3,5.2,6.2,7,7.1,7,NA,7.6,7,7.5,6.5,5.2,5,7.8,8.8,7.4,8,8.1,5,8,7,8.4,6.5,7.6,7.7,7.1,6.2,7.3,7.8,7,7.7,7.1,6.7,7,5,7.9,9.5,7,7.5,7.4,7.2,8.8,6.3,6.8551724137931
"106343546",NA,7.3,5,7.9,7.4,7.2,7,NA,5,8,7.9,5.3,6,7.3,7.7,8.8,7.1,8.3,8.4,7,8.3,7.4,8.7,7,7.7,9,7.7,6.2,7.5,8.2,5.2,7.4,6.9,6.1,7,7,9.3,9.5,6.7,7.5,7.6,6.5,6.7,5.3,7.2
"106343547",NA,6.7,7.2,6.8,5.4,6.6,7,NA,7,9,7.3,8.1,5,7.5,7.7,8.5,8.4,8.8,8.1,8.3,8.8,9.2,8.2,8.2,8.4,7.8,7.4,6.3,5.3,8,7,7,7.4,7.5,6.3,7.6,8.8,8.7,7,8.5,8,6,7.9,8.2,7.51604938271605
"106343548",NA,9.2,5.5,7,7.1,8.2,NA,NA,7,9.3,7.2,5.6,7.7,7.5,8,9,7.9,5.8,9.3,5.8,5.8,8.1,8.2,8.5,8.1,9.5,7.6,7,8.5,7.7,7.1,7,7,7.2,6,7.4,7.6,8,8,8,8.6,7,10,7.1,7.53950617283951
"106343549",NA,NA,5,5,5,5.4,NA,NA,5,9.7,7.5,5.1,NA,NA,9.4,9.5,7,7,7.8,5,7,9.2,7.5,7,8.4,7.1,5,6.2,9.3,5.8,5,9.2,5,5.7,7.1,7,7.2,6.3,7,8,6,5,6,5.8,4.61393442622951
"106343551",NA,7.2,7.2,6.6,7,8.1,6.4,NA,7.9,8.1,7.7,5,6.4,7,8,9.5,7.9,8.4,7.7,7.7,8.4,9.2,8.2,7.4,8.1,7,9.2,6.2,9,7.7,7.3,7.9,8.7,5.8,6.4,7.1,9,9.7,7.7,8.5,8.1,8.7,7.1,7.4,7.47857142857143
"1268289547",5,6.2,5.6,7.3,7,7,7.7,5.3,6.6,7,9.7,7.3,5.5,8.3,5,8.3,7.5,8.1,7.1,8,8.1,9.5,8.9,8.5,7.9,8,7,5,7.7,5.4,5,5.3,5,6.1,8.1,8.4,8.8,9.5,5.5,8,5.9,6.6,5.4,7.8,6.76043956043956
"1269495443",NA,NA,7.8,7.2,7.5,5.6,NA,8.6,6.5,NA,5.9,6.3,NA,9.1,NA,NA,7.9,5.1,NA,NA,5.1,7.8,8.6,NA,NA,NA,5.8,NA,NA,5.4,5.9,5.2,5,5,NA,NA,8.2,8.9,6.6,8.5,5,6,5,NA,5.93913043478261
"1269495444",7.1,8,8.4,5.8,6.3,6.5,8.6,6.3,7,8.8,6.1,7,7.3,7.8,8.1,8.7,8.1,7.2,7.2,8.6,7.2,7.2,8.1,7.2,5.1,8.8,8.5,6.4,6.1,7,5,8.4,7.4,7.3,5.5,7.1,9.4,8.3,5.9,9.4,7,7.3,6,7.1,7.2
"1269495448",9,8.1,7.9,9.5,7.6,7.9,5.9,5.7,8.1,9.8,7.8,6.5,8.7,9.4,8.3,8.3,9,7,8.4,7.6,7,8,8.5,6.7,8,8,7.8,7.9,8.1,9.2,6.5,8.6,8,6.7,6.2,7.9,9.4,8.3,7,8.7,6.3,5.5,6.8,7,7.79647058823529
